Character,Line,
Viva,You don’t understand. I just got my sister back. I’m not gonna lose you. For anything.,
Viva,"Yeah, no. That’s not what I’m talking about. So, you’re really not gonna eat us?",
Viva,"Yeah, I’m the fun side of the operation, and Mr. Clay takes care of the boring stuff!",
Viva,"Kaleidoscopic. I’m seeing different when I look at you everything’s looking bright. No, I can’t stop it now",
Viva,"Now that you’re with me I can finally see. Colors that were up in my mind didn’t know I was blind, now that I’m with you sparks are flying loose",
Viva,"You’ve got me feeling right. Feeling right. Feeling like good vibes are at my door. Every day. Every night, ooh! It takes two. I didn’t know until I found you",
Viva,"I used to live at the Troll Tree. I was there when you were born. And you were so cute. Kinda like you are now, only teensier and weensier",
Viva,Do you wanna make candy necklaces that we never finish because we eat all the candy?,
Viva,"Whoa! I am not going to Mount Rageous. And neither are you, silly. You’re never gonna leave again.",
Viva,"No. No, Poppy, wait! Poppy, please! I want you to stay!",
